candidate_id,composition,n_elements,Al,Co,Cr,Cu,Fe,Mn,Mo,Nb,Ni,Ti,V,W,composition_sum,valid_composition,Predicted_YS_MPa,Predicted_UTS_MPa,Predicted_Elongation_pct,Predicted_Hardness_HV,UTS_to_YS_Ratio,UTS_YS_Consistency,YS_Score,UTS_Score,Elongation_Score,Hardness_Score,Balanced_Score,Pareto_Optimal,Overall_Rank,YS_Ensemble_Mean_MPa,YS_Uncertainty_STD_MPa,YS_Ensemble_Min_MPa,YS_Ensemble_Max_MPa,YS_Ensemble_Difference_MPa,YS_Normalized,UTS_Normalized,Elongation_Normalized,Hardness_Normalized,Uncertainty_Normalized,Uncertainty_Confidence,Performance_Score,Uncertainty_Aware_Score,Uncertainty_Risk,Uncertainty_Aware_Rank,High_Performance_Low_Uncertainty
CAND_04827,Cu11.09Fe23.00Mo13.30Nb12.82Ni10.91W28.88,6,0.0,0.0,0.0,11.09,23.0,0.0,13.3,12.82,10.91,0.0,0.0,28.88,100.0,True,925.0888,1239.4039,41.822403,256.64400000000006,1.3397674815188445,True,0.47349554,0.5252919404501897,0.4043593341036207,0.1142730200726733,0.4178670405134844,False,3403,1581.0852,182.05055,1305.8726,1890.2153,655.996405078125,0.47349549157132176,0.5252919404501897,0.4043593341036207,0.11427302007267334,1.0,0.0,0.4144102082698745,0.3315281666158996,Low,3443,False
CAND_03534,Cr15.67Fe28.00Mo16.19Ni40.14,4,0.0,0.0,15.67,0.0,28.0,0.0,16.19,0.0,40.14,0.0,0.0,0.0,100.0,True,724.1727,1266.7235,50.18086,227.21986666666672,1.7492007754672922,True,0.30593726,0.5467466479297,0.5538557788028602,0.0512196393761834,0.4019520690633155,False,3800,1581.0852,182.05055,1305.8726,1890.2153,856.912505078125,0.30593720520413176,0.5467466479297,0.5538557788028602,0.051219639376183485,1.0,0.0,0.4143479752272285,0.33147838018178283,Low,3444,False
CAND_04847,Co16.37Cr20.62Fe29.68Mn21.28Mo12.05,5,0.0,16.37,20.62,0.0,29.68,21.28,12.05,0.0,0.0,0.0,0.0,0.0,100.0,True,619.1826,1463.6627,45.251778,233.1730000000001,2.363862710888694,True,0.21837848,0.7014075114580378,0.4656959384601968,0.0639766908125428,0.4019562929095409,False,3799,1581.0852,182.05055,1305.8726,1890.2153,961.902605078125,0.21837846182060044,0.7014075114580378,0.4656959384601968,0.06397669081254295,1.0,0.0,0.41432215405250195,0.33145772324200157,Low,3445,False
CAND_01509,Mn12.97Mo35.34Nb14.52V37.17,4,0.0,0.0,0.0,0.0,0.0,12.97,35.34,14.52,0.0,0.0,37.17,0.0,100.0,True,1211.5059,1037.0487,35.89176,317.814,0.8559997394771164,False,0.71235913,0.3663777680992838,0.2982859232718808,0.2453550558121892,0.4349958146948096,False,2983,1581.0852,182.05055,1305.8726,1890.2153,369.5793050781249,0.712359168809035,0.36637776809928385,0.2982859232718808,0.24535505581218925,1.0,0.0,0.41429215798543656,0.3314337263883493,Low,3446,False
CAND_02190,Al22.16Co5.06Ti35.66V37.12,4,22.16,5.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.66,37.12,0.0,100.0,True,1019.30194,792.8255,50.1053,384.1667,0.7778122145887338,False,0.5520666,0.1745836966008013,0.5525043390142156,0.3875431707837992,0.4142526685216675,False,3495,1581.0852,182.05055,1305.8726,1890.2153,561.783265078125,0.552066558258721,0.1745836966008013,0.5525043390142156,0.3875431707837992,1.0,0.0,0.41427452586675517,0.33141962069340414,Low,3447,False
CAND_03245,Al8.74Co12.96Mn19.03Mo9.55Nb18.49W31.23,6,8.74,12.96,0.0,0.0,0.0,19.03,9.55,18.49,0.0,0.0,0.0,31.23,100.0,True,636.7472,1359.9556,44.230278,314.629,2.135785781655076,True,0.23302685,0.6199639510088246,0.4474257459760728,0.238529875432422,0.4035331632449861,False,3767,1581.0852,182.05055,1305.8726,1890.2153,944.338005078125,0.2330268363248097,0.6199639510088246,0.4474257459760728,0.23852987543242207,1.0,0.0,0.41425309949153494,0.331402479593228,Low,3448,False
CAND_01483,Co28.81Cr17.14Fe26.55Ni6.35W21.15,5,0.0,28.81,17.14,0.0,26.55,0.0,0.0,0.0,6.35,0.0,0.0,21.15,100.0,True,552.6633,1349.4788,50.969345,264.26000000000005,2.4417737283369907,True,0.1629033,0.6117362800575175,0.5679583463220421,0.1305934513983583,0.3939704802229838,False,3956,1581.0852,182.05055,1305.8726,1890.2153,1028.4219050781248,0.162903266361675,0.6117362800575175,0.5679583463220421,0.13059345139835835,1.0,0.0,0.41422322221404034,0.3313785777712323,Low,3449,False
CAND_00516,Co19.31Cu12.01Mn10.99Mo24.41V33.28,5,0.0,19.31,0.0,12.01,0.0,10.99,24.41,0.0,0.0,0.0,33.28,0.0,100.0,True,1027.4597,905.99243,48.599174,320.823,0.8817790276240206,False,0.5588699,0.2634562781724283,0.5255662950344371,0.2518030833672031,0.4158599011321205,False,3456,1581.0852,182.05055,1305.8726,1890.2153,553.6255050781249,0.5588698969966062,0.2634562781724283,0.5255662950344371,0.2518030833672031,1.0,0.0,0.41419470871629166,0.33135576697303337,Low,3450,False
CAND_03121,Co11.39Cu15.04Fe18.28Ni17.48Ti28.90W8.91,6,0.0,11.39,0.0,15.04,18.28,0.0,0.0,0.0,17.48,28.9,0.0,8.91,100.0,True,837.11456,1318.4563,42.44905,244.47,1.5750010312727736,True,0.4001275,0.587373600414217,0.4155673236382254,0.0881851877513904,0.4133699452456862,False,3516,1581.0852,182.05055,1305.8726,1890.2153,743.970645078125,0.4001274892118498,0.587373600414217,0.41556732363822546,0.08818518775139043,1.0,0.0,0.4141419276814038,0.33131354214512304,Low,3451,False
CAND_02027,Nb15.85Ni17.94V40.11W26.10,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.85,17.94,0.0,40.11,26.1,100.0,True,1090.8513,966.9702,45.591652,285.016,0.886436294044462,False,0.6117367,0.311343517301217,0.471774806204053,0.1750717697539148,0.4211285396366784,False,3327,1581.0852,182.05055,1305.8726,1890.2153,490.23390507812496,0.6117366800273059,0.31134351730121707,0.47177480620405304,0.17507176975391484,1.0,0.0,0.41413043252149473,0.3313043460171958,Low,3452,False
