candidate_id,composition,n_elements,Al,Co,Cr,Cu,Fe,Mn,Mo,Nb,Ni,Ti,V,W,composition_sum,valid_composition,Predicted_YS_MPa,Predicted_UTS_MPa,Predicted_Elongation_pct,Predicted_Hardness_HV,UTS_to_YS_Ratio,UTS_YS_Consistency,YS_Score,UTS_Score,Elongation_Score,Hardness_Score,Balanced_Score,Pareto_Optimal,Overall_Rank,YS_Ensemble_Mean_MPa,YS_Uncertainty_STD_MPa,YS_Relative_Uncertainty,Uncertainty_Risk,Predicted_YS_MPa_Norm,Predicted_UTS_MPa_Norm,Predicted_Elongation_pct_Norm,Predicted_Hardness_HV_Norm,Performance_Score,Uncertainty_Aware_Score,Uncertainty_Aware_Rank
CAND_02578,Al29.62Cr29.26Nb17.81Ti23.31,4,29.62,0.0,29.26,0.0,0.0,0.0,0.0,17.81,0.0,23.31,0.0,0.0,100.0,True,1174.8495,1758.3973,58.008778,488.8427333333333,1.4967000615832708,True,0.6817888,0.9328693420518416,0.6938631881126383,0.6118548847362395,0.7496414789586858,False,121,1241.1289469401042,181.80221555181393,0.1464813273431673,Low,0.6817887786392564,0.9328693420518415,0.6938631881126383,0.6118548847362392,0.7300940483849938,0.6368128559728914,4
CAND_02156,Al44.04Cr13.99Cu8.33Mn8.92Mo8.03Nb16.69,6,44.04,0.0,13.99,8.33,0.0,8.92,8.03,16.69,0.0,0.0,0.0,0.0,100.0,True,1087.7585,1546.5494,51.430122,623.031,1.4217763741962388,True,0.60915744,0.7665003350148223,0.5761996429272865,0.8994087700889235,0.6916585715845067,True,26,1419.30673828125,194.92942580345613,0.13734129525764915,Low,0.6091573732018376,0.7665003350148223,0.5761996429272865,0.8994087700889235,0.7128165303082175,0.626739337857893,6
CAND_02500,Al19.26Cr29.14Fe9.73Nb24.48Ti17.39,5,19.26,0.0,29.14,0.0,9.73,0.0,0.0,24.48,0.0,17.39,0.0,0.0,100.0,True,1323.7448,1612.653,58.4666,371.543,1.2182507230418116,True,0.80596316,0.8184130058204914,0.7020516326192137,0.3604916701369964,0.7168995139642096,True,14,1350.213777669271,171.68832335677808,0.12715640011698384,Low,0.8059632042633285,0.8184130058204914,0.7020516326192137,0.3604916701369964,0.6717298782100074,0.5959509063163646,18
CAND_04367,Al23.99Cr44.48Ni23.42Ti8.11,4,23.99,0.0,44.48,0.0,0.0,0.0,0.0,0.0,23.42,8.11,0.0,0.0,100.0,True,1306.1501,1665.7268,60.027218,369.86143333333337,1.2752950374682872,True,0.7912898,0.8600930763129594,0.7299643014926237,0.3568882177600407,0.7314391877420011,True,6,1344.710575358073,208.39461438067784,0.15497358182461382,Low,0.7912897272192052,0.8600930763129594,0.7299643014926237,0.35688821776004076,0.6845588306962073,0.5927051851824603,19
CAND_02875,Al18.25Cr39.27Fe12.40Nb30.08,4,18.25,0.0,39.27,0.0,12.4,0.0,0.0,30.08,0.0,0.0,0.0,0.0,100.0,True,1181.0442,1707.6715,58.19433,361.429,1.4458997514654608,True,0.686955,0.8930332097269119,0.6971819064247422,0.3388182401963479,0.6991146770328602,False,127,1440.1081461588542,153.7267308063366,0.10674665733706602,Low,0.6869549814301668,0.8930332097269119,0.6971819064247422,0.3388182401963479,0.6539970844445422,0.5909185088646386,20
CAND_02137,Al18.37Cr36.64Nb15.18Ti24.76W5.05,5,18.37,0.0,36.64,0.0,0.0,0.0,0.0,15.18,0.0,24.76,0.0,5.05,100.0,True,1225.6493,1719.69,56.201027,356.962,1.4030848883409317,True,0.72415435,0.9024716129920584,0.6615303846536392,0.3292458443544578,0.7027572656369636,True,20,1414.1574300130208,156.1514729033803,0.11042014813155741,Low,0.7241543602715694,0.9024716129920584,0.6615303846536392,0.3292458443544578,0.6543505505679311,0.5892819503221106,23
CAND_01246,Al18.51Co8.78Cr22.40Nb27.35Ti10.61W12.35,6,18.51,8.78,22.4,0.0,0.0,0.0,0.0,27.35,0.0,10.61,0.0,12.35,100.0,True,1210.4055,1743.1118,51.998413,369.851,1.4401056296304364,True,0.7114415,0.9208652888747066,0.5863638974128424,0.3568658600263006,0.6898129010428984,True,27,1536.591707356771,144.12865661794424,0.09379762752063323,Low,0.7114414666521722,0.9208652888747066,0.5863638974128424,0.3568658600263006,0.6438841282415055,0.5886684264446893,24
CAND_02022,Al41.38Co10.40Cr5.85Cu21.25Fe10.16Mo10.96,6,41.38,10.4,5.85,21.25,10.16,0.0,10.96,0.0,0.0,0.0,0.0,0.0,100.0,True,930.81134,1495.2769,51.365692,589.889,1.606423165693939,True,0.47826797,0.7262348666608496,0.5750472704341372,0.8283883216913589,0.6293709161707803,False,223,1374.834822591146,166.3363697276201,0.1209864392393892,Low,0.47826792641386395,0.7262348666608496,0.5750472704341372,0.8283883216913589,0.6519845963000525,0.5816168451979103,31
CAND_01556,Al13.24Cr30.94Fe7.00Nb18.53Ni7.87Ti22.42,6,13.24,0.0,30.94,0.0,7.0,0.0,0.0,18.53,7.87,22.42,0.0,0.0,100.0,True,1330.9757,1620.9166,60.79892,348.132,1.2178408593393244,True,0.8119936,0.8249026001310844,0.7437666941312762,0.3103239157034863,0.7235591295497605,True,9,1070.7207478841146,170.875845546883,0.15958955300395197,Low,0.8119935682455705,0.8249026001310844,0.7437666941312762,0.31032391570348633,0.6727466945528543,0.5801593269015606,32
CAND_02644,Al26.16Cr29.03Ni20.41Ti24.40,4,26.16,0.0,29.03,0.0,0.0,0.0,0.0,0.0,20.41,24.4,0.0,0.0,100.0,True,1249.2795,1645.1664,56.98046,397.7257,1.3168921334151775,True,0.7438613,0.8439465233743468,0.675471051260079,0.4165989386862365,0.7076999648613308,True,17,1269.057234700521,203.49455039565123,0.16035096355892334,Low,0.7438612718556286,0.8439465233743468,0.675471051260079,0.41659893868623665,0.6699694462940728,0.5773851768427056,33
