record_id,alloy_name,composition_canonical,actual_ys_mpa,predicted_ys_mpa,uncertainty_std_mpa,lower_95_mpa,upper_95_mpa,absolute_error_mpa,relative_error_pct
R01350,Hf1 Nb1 Ta1 Ti1 W1 Zr1,Hf:16.6667;Nb:16.6667;Ta:16.6667;Ti:16.6667;W:16.6667;Zr:16.6667,577.0,988.5818,161.69647,671.65674,1305.5068,411.581787109375,71.33133225465771
R01899,CoCrMoNbTi0.4,Co:22.7273;Cr:22.7273;Mo:22.7273;Nb:22.7273;Ti:9.0909,1771.3,1154.2816,161.53017,837.6825,1470.8807,617.0183837890625,34.834211245360045
R00978,Al1 Co1 Cr1 Cu1 Fe1 Ni1,Al:16.6667;Co:16.6667;Cr:16.6667;Cu:16.6667;Fe:16.6667;Ni:16.6667,1040.0,1429.6548,160.48767,1115.0989,1744.2107,389.65478515625,37.46680626502404
R02053,MoNbTaTiVW,Mo:16.6667;Nb:16.6667;Ta:16.6667;Ti:16.6667;V:16.6667;W:16.6667,1515.0,1835.5883,157.79848,1526.3032,2144.8733,320.5882568359375,21.160941045276402
R01013,Al0.1 Co1 Cr1 Fe1 Mn1 Ni1,Al:1.9608;Co:19.6078;Cr:19.6078;Fe:19.6078;Mn:19.6078;Ni:19.6078,1631.0,728.8018,157.75531,419.6014,1038.0022,902.1981811523438,55.31564568683898
R01679,Co1 Cr1 Cu1 Ni1 Zn1,Co:20.0000;Cr:20.0000;Cu:20.0000;Ni:20.0000;Zn:20.0000,2121.0,1035.113,156.7291,727.924,1342.302,1085.886962890625,51.19693365820957
R00815,Mo1 Nb1 Ta1 Ti1 V1 W1,Mo:16.6667;Nb:16.6667;Ta:16.6667;Ti:16.6667;V:16.6667;W:16.6667,1515.0,1841.4178,155.42244,1536.7898,2146.046,326.4178466796875,21.545732454104787
R02213,Al3Ti3 MEA (Solid Solution),Al:3.0030;Co:31.3313;Cr:31.3313;Ni:31.3313;Ti:3.0030,334.0,749.2756,155.36952,444.7513,1053.7998,415.27557373046875,124.3340041109188
R02530,Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,Al:9.0000;Co:18.2000;Cr:18.2000;Cu:18.2000;Fe:18.2000;Ni:18.2000,1284.0,883.23035,155.32278,578.79767,1187.6631,400.7696533203125,31.212589822454245
R01131,Co0.986 Cr0.952 Fe0.933 Mn0.914 Ni1,Co:20.6061;Cr:19.8955;Fe:19.4984;Mn:19.1014;Ni:20.8986,1290.0,775.6173,153.50676,474.74405,1076.4906,514.3826904296875,39.87462716509205
R01012,Co1 Cr1 Fe1 Mn1 Ni1,Co:20.0000;Cr:20.0000;Fe:20.0000;Mn:20.0000;Ni:20.0000,1314.0,1174.7721,151.60779,877.62085,1471.9233,139.2279052734375,10.59573099493436
R01525,Mo1 Nb1 Si0.5 Ta1 W1,Mo:22.2222;Nb:22.2222;Si:11.1111;Ta:22.2222;W:22.2222,1883.0,1830.2234,151.0901,1534.0868,2126.3599,52.776611328125,2.8027940163635154
R02690,Al0.7Co0.3CrFeNi,Al:17.5000;Co:7.5000;Cr:25.0000;Fe:25.0000;Ni:25.0000,2033.0,1211.5232,151.04308,915.47876,1507.5676,821.476806640625,40.40712280573659
R01353,Hf1 Mo1 Nb1 Ta1 Ti1 W1 Zr1,Hf:14.2857;Mo:14.2857;Nb:14.2857;Ta:14.2857;Ti:14.2857;W:14.2857;Zr:14.2857,736.0,903.3894,150.94882,607.52966,1199.2491,167.389404296875,22.74312558381454
R00291,Al0.7 Co0.3 Cr1 Fe1 Ni1,Al:17.5000;Co:7.5000;Cr:25.0000;Fe:25.0000;Ni:25.0000,2033.0,1389.7992,150.26608,1095.2777,1684.3207,643.2008056640625,31.638013067587924
R00482,Al1 Li0.5 Mg1 Sn0.2 Zn0.5,Al:31.2500;Li:15.6250;Mg:31.2500;Sn:6.2500;Zn:15.6250,546.0,571.4096,150.07576,277.2611,865.5581,25.40960693359375,4.6537741636618595
R00071,AlCoCrFeMo0.5Ni,Al:18.1818;Co:18.1818;Cr:18.1818;Fe:18.1818;Mo:9.0909;Ni:18.1818,2757.0,2273.9426,148.16891,1983.5315,2564.3538,483.057373046875,17.52112343296609
R00111,Al0.20CoCrFeMnNi,Al:3.8462;Co:19.2308;Cr:19.2308;Fe:19.2308;Mn:19.2308;Ni:19.2308,220.0,357.90445,147.91838,67.984406,647.82446,137.90444946289062,62.68384066495029
