candidate_id,composition,n_elements,Al,Co,Cr,Cu,Fe,Mn,Mo,Nb,Ni,Ti,V,W,composition_sum,valid_composition,Predicted_YS_MPa,Predicted_UTS_MPa,Predicted_Elongation_pct,Predicted_Hardness_HV,UTS_to_YS_Ratio,UTS_YS_Consistency,YS_Score,UTS_Score,Elongation_Score,Hardness_Score,Balanced_Score,Pareto_Optimal,Overall_Rank,YS_Ensemble_Mean_MPa,YS_Uncertainty_STD_MPa,YS_Ensemble_Min_MPa,YS_Ensemble_Max_MPa,YS_Ensemble_Difference_MPa,YS_Normalized,UTS_Normalized,Elongation_Normalized,Hardness_Normalized,Uncertainty_Normalized,Uncertainty_Confidence,Performance_Score,Uncertainty_Aware_Score,Uncertainty_Risk,Uncertainty_Aware_Rank,High_Performance_Low_Uncertainty
CAND_01631,Al6.57Co41.42Cr32.61Nb5.82W13.58,5,6.57,41.42,32.61,0.0,0.0,0.0,0.0,5.82,0.0,0.0,0.0,13.58,100.0,True,883.1253,1522.6926,69.33899,310.8006,1.7242090007792457,True,0.43849918,0.7477650436709818,0.8965114055633783,0.2303259443285285,0.6145560168406906,True,60,1581.0852,182.05055,1305.8726,1890.2153,697.959905078125,0.4384991316481023,0.7477650436709818,0.8965114055633783,0.23032594432852851,1.0,0.0,0.637456609331613,0.5099652874652904,Low,148,True
CAND_00731,Al27.71Co16.33Cr34.20V21.76,4,27.71,16.33,34.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.76,0.0,100.0,True,1093.1393,1288.2065,60.325542,487.0054666666667,1.1784468099765977,True,0.6136448,0.5636177397751999,0.7353000204379334,0.6079177806842038,0.6281914396841484,True,53,1581.0852,182.05055,1305.8726,1890.2153,487.94590507812495,0.6136448066493542,0.5636177397751999,0.7353000204379334,0.6079177806842038,1.0,0.0,0.6342741968289092,0.5074193574631274,Low,152,True
CAND_03639,Al32.75Fe10.14Mn16.22Nb30.36Ti10.53,5,32.75,0.0,0.0,0.0,10.14,16.22,0.0,30.36,0.0,10.53,0.0,0.0,100.0,True,1174.2192,1523.8143,43.641518,529.8697333333334,1.297725544192638,True,0.68126315,0.7486459403671182,0.436895390100446,0.6997722082655042,0.6431624084906961,True,44,1581.0852,182.05055,1305.8726,1890.2153,406.866005078125,0.6812631264496247,0.7486459403671182,0.436895390100446,0.6997722082655042,1.0,0.0,0.6309440119925009,0.5047552095940008,Low,160,True
CAND_03980,Al29.64Cr23.54Ti5.41V24.17W17.24,5,29.64,0.0,23.54,0.0,0.0,0.0,0.0,0.0,0.0,5.41,24.17,17.24,100.0,True,1226.9988,1387.8925,49.728493,489.54673333333335,1.1311278571893315,True,0.7252798,0.641903438314068,0.5457649005224238,0.6133634960352522,0.6386007353643732,True,48,1581.0852,182.05055,1305.8726,1890.2153,354.0864050781249,0.7252798047105792,0.641903438314068,0.5457649005224238,0.6133634960352522,1.0,0.0,0.6296249772338802,0.5036999817871042,Low,164,True
CAND_04489,Al19.20Cr21.85Fe12.21Nb23.68Ni15.92V7.14,6,19.2,0.0,21.85,0.0,12.21,0.0,0.0,23.68,15.92,0.0,7.14,0.0,100.0,True,1456.29,1320.6746,52.95788,333.533,0.9068760786485888,False,0.9165022,0.5891156822017175,0.603524589309235,0.2790395174729617,0.6444224329233587,True,42,1581.0852,182.05055,1305.8726,1890.2153,124.79520507812504,0.9165021136797291,0.5891156822017175,0.603524589309235,0.2790395174729617,1.0,0.0,0.6287735374941623,0.5030188299953299,Low,167,True
CAND_03972,Al24.13Cr23.07Nb40.09Ti6.66V6.05,5,24.13,0.0,23.07,0.0,0.0,0.0,0.0,40.09,0.0,6.66,6.05,0.0,100.0,True,1234.6438,1440.3177,51.320038,416.6153333333333,1.166585618756675,True,0.73165554,0.6830741483740553,0.5742307189239363,0.4570777941988465,0.636538260758129,True,49,1581.0852,182.05055,1305.8726,1890.2153,346.44140507812494,0.7316555162602119,0.6830741483740553,0.5742307189239363,0.45707779419884653,1.0,0.0,0.6286670083842775,0.502933606707422,Low,169,True
CAND_00322,Al5.82Co31.87Cr31.76Mo13.48W17.07,5,5.82,31.87,31.76,0.0,0.0,0.0,13.48,0.0,0.0,0.0,0.0,17.07,100.0,True,797.5601,1510.0226,71.20815,312.0046,1.8933025396287275,True,0.36714023,0.7378150025369463,0.9299425489638924,0.2329060125160449,0.5989081144048201,True,68,1581.0852,182.05055,1305.8726,1890.2153,783.525105078125,0.3671401998120479,0.7378150025369463,0.9299425489638924,0.2329060125160449,1.0,0.0,0.6270482172806703,0.5016385738245362,Low,173,True
CAND_00740,Al33.78Cr21.56Nb17.40Ti10.67V16.59,5,33.78,0.0,21.56,0.0,0.0,0.0,0.0,17.4,0.0,10.67,16.59,0.0,100.0,True,1255.3391,1372.4258,46.316868,526.7241333333333,1.09327096369044,True,0.74891484,0.6297570846275814,0.4847457664708826,0.6930314586885508,0.6387427490813724,True,47,1581.0852,182.05055,1305.8726,1890.2153,325.7461050781251,0.748914805106924,0.6297570846275814,0.4847457664708826,0.6930314586885508,1.0,0.0,0.6255342754095528,0.5004274203276422,Low,181,True
CAND_03088,Co22.25Cr38.06Cu8.56Nb31.13,4,0.0,22.25,38.06,8.56,0.0,0.0,0.0,31.13,0.0,0.0,0.0,0.0,100.0,True,765.9711,1485.8727,72.56583,316.658,1.939854703505773,True,0.34079593,0.7188495330513233,0.9542255395971234,0.2428778474859692,0.5928817036877755,True,78,1581.0852,182.05055,1305.8726,1890.2153,815.114105078125,0.3407958764449649,0.7188495330513233,0.9542255395971234,0.2428778474859692,1.0,0.0,0.6235531680286706,0.49884253442293647,Low,187,True
CAND_04263,Al27.32Co28.42Nb7.83Ni29.18W7.25,5,27.32,28.42,0.0,0.0,0.0,0.0,0.0,7.83,29.18,0.0,0.0,7.25,100.0,True,811.9239,1446.6874,63.70347,458.7796,1.7818017419051866,True,0.37911922,0.6880764196456784,0.7957164617081358,0.547432182136242,0.6012026413104891,True,66,1581.0852,182.05055,1305.8726,1890.2153,769.161305078125,0.37911919857681103,0.6880764196456784,0.7957164617081358,0.5474321821362421,1.0,0.0,0.6220324913707833,0.4976259930966267,Low,196,True
