Property,Feature,Material_Feature,Mean_SHAP,Mean_Absolute_SHAP,SHAP_Value_Min,SHAP_Value_Max,Feature_Value_Min,Feature_Value_Max,Feature_SHAP_Correlation
UTS,numeric__Test_Temperature_C,test_temperature_c,17.220542907714844,145.26382446289062,-949.5548095703125,200.49436950683594,-192.0,1000.0,-0.9417591223786166
UTS,elements__V_at_pct,v_at_pct,25.5101318359375,54.39390563964844,-34.06730651855469,272.83245849609375,3.9903990399039904,28.0,0.003219513223754374
UTS,elements__Fe_at_pct,fe_at_pct,33.16415023803711,44.226749420166016,-76.33212280273438,391.0865478515625,4.0,35.7,-0.034286925362339446
UTS,elements__Al_at_pct,al_at_pct,8.426021575927734,41.41987991333008,-117.91068267822266,153.7698516845703,1.5384615384615383,25.0,0.07019535558113923
UTS,numeric__Density_Calc_g_cm3,density_calc_g_cm3,18.66752815246582,41.08077621459961,-96.452392578125,481.1528625488281,5.6,13.7,-0.15602131912985795
UTS,elements__Mo_at_pct,mo_at_pct,5.112069606781006,39.83174514770508,-194.1503143310547,242.8949432373047,4.76,25.0,-0.5001535236264214
UTS,elements__Ti_at_pct,ti_at_pct,2.113247871398926,31.058624267578125,-188.84083557128906,250.23947143554688,0.0,33.333333333333336,-0.7394883462657238
UTS,elements__Ni_at_pct,ni_at_pct,6.6835222244262695,21.85564613342285,-55.33049392700195,104.55831146240234,4.0,55.0,-0.5801123239464144
UTS,elements__Co_at_pct,co_at_pct,-2.698572874069214,20.163259506225586,-73.62648010253906,108.50286865234375,4.0,55.0,-0.09378901384496538
UTS,elements__Cr_at_pct,cr_at_pct,2.8388068675994873,19.93527603149414,-47.209651947021484,77.26921844482422,4.0,32.0,0.15109465509870776
UTS,elements__Nb_at_pct,nb_at_pct,-1.8379639387130737,14.58962345123291,-48.99483871459961,201.8690948486328,1.9607843137254903,33.333333333333336,-0.7337568757412726
UTS,elements__Cu_at_pct,cu_at_pct,3.4373433589935303,12.77647876739502,-83.20584869384766,117.96444702148438,0.0,24.752475247524757,-0.5163248831560313
UTS,elements__Zr_at_pct,zr_at_pct,-2.5763251781463623,12.23822021484375,-46.272029876708984,133.66900634765625,12.5,37.49531308586426,0.6633671378440283
UTS,numeric__Density_Exp_g_cm3,density_exp_g_cm3,-1.980722427368164,8.569982528686523,-106.02537536621094,71.19274139404297,6.1,8.6,-0.8798119142852555
UTS,numeric__Grain_Size_um,grain_size_um,4.396259784698486,8.244287490844727,-49.65900802612305,131.22979736328125,0.71,500.0,-0.00597461398444602
UTS,numeric__Matrix_Volume_pct,matrix_volume_pct,3.7404651641845703,8.144806861877441,-161.50918579101562,165.58360290527344,34.0,100.0,-0.8538291249395014
UTS,elements__Mn_at_pct,mn_at_pct,0.9550619125366211,5.523811340332031,-73.85453796386719,11.567866325378418,4.0,40.0,0.043019857430980246
UTS,elements__Si_at_pct,si_at_pct,-0.42957472801208496,5.315227031707764,-6.668979644775391,308.4512939453125,4.4044044044044055,18.36734693877551,0.8879524666595529
UTS,elements__Ta_at_pct,ta_at_pct,-2.738081455230713,4.617780685424805,-65.74388122558594,24.88064956665039,12.5,33.333333333333336,-0.7882450137809608
UTS,elements__Sn_at_pct,sn_at_pct,1.3682770729064941,4.373271465301514,-138.78414916992188,3.5810911655426025,0.99009900990099,3.846153846153846,-0.47467462373648683
UTS,elements__Hf_at_pct,hf_at_pct,-0.5618042945861816,3.4883177280426025,-161.57347106933594,34.940704345703125,10.20408163265306,25.0,0.9539645635608412
UTS,elements__C_at_pct,c_at_pct,-0.695989191532135,2.8734872341156006,-93.23779296875,3.7586421966552734,1.9607843137254903,16.666666666666668,-0.5339063144177867
UTS,elements__W_at_pct,w_at_pct,-0.4608602225780487,1.2041338682174683,-51.26604080200195,4.132320880889893,20.0,25.0,-0.9788483484650898
UTS,elements__Li_at_pct,li_at_pct,0.34318193793296814,0.34318193793296814,0.14097152650356293,1.3448020219802856,10.29647435897436,10.29647435897436,-3.1515909150998843e-16
UTS,elements__Mg_at_pct,mg_at_pct,0.17873568832874298,0.17873568832874298,0.03778143227100372,1.243048906326294,12.48397435897436,12.48397435897436,1.2403432451336914e-16
UTS,elements__I_at_pct,i_at_pct,0.0,0.0,0.0,0.0,14.285714285714286,14.285714285714286,
UTS,elements__Zn_at_pct,zn_at_pct,0.0,0.0,0.0,0.0,10.29647435897436,10.29647435897436,
UTS,elements__T_at_pct,t_at_pct,0.0,0.0,0.0,0.0,14.285714285714286,14.285714285714286,
UTS,elements__Y_at_pct,y_at_pct,0.0,0.0,0.0,0.0,7.6923076923076925,14.285714285714286,
