Rank,Feature,Mean_Absolute_SHAP
121,"categorical__Phase_Face‐Centered Cubic (FCC) (γ phase, coded: 1)",0.0
122,categorical__Phase_Face‐Centered Cubic (FCC) (Code: 1),0.0
123,categorical__Phase_Face-centered cubic (fcc) (Code: 1),0.0
124,categorical__Phase_Face‐Centered Cubic (FCC) (Classification code: 1),0.0
125,categorical__Phase_Face-centered cubic (FCC; classification: 1),0.0
126,categorical__Phase_Face-centered cubic (FCC) → Code 1,0.0
127,categorical__Phase_Face‐centered cubic (fcc) (Code 1),0.0
128,categorical__Phase_Face‑Centered Cubic (FCC) [Classification Code: 1],0.0
129,categorical__Phase_Face‑Centered Cubic (FCC) – (classified as 1),0.0
130,categorical__Phase_Face‑Centered Cubic (FCC) – Dual FCC structure,0.0
131,categorical__Phase_Face‑Centered Cubic (FCC) → Code 1,0.0
132,categorical__Processing_Method_1 (Yes); 1 (Yes; via cryo-rolling); 0; 1,0.0
133,categorical__Processing_Method_1; 1; 0; 1,0.0
134,categorical__Processing_Method_1; 0; 0; 1,0.0
135,categorical__Processing_Method_1 (Yes); 1 (Yes); 1 (Yes); 1,0.0
136,categorical__Processing_Method_0; Primary cold rolling; 1; 1,0.0
137,categorical__Processing_Method_0; 1; 1; 0,0.0
138,categorical__Processing_Method_0; 0; 0; 1,0.0
139,categorical__Processing_Method_0; 1 (Yes); 1 (Yes); 0,0.0
140,categorical__Phase_Face–centered cubic (FCC) [Classification code: 1],0.0
141,categorical__Phase_face‑centered cubic (FCC) → Code 1,0.0
142,"categorical__Phase_γ phase (matrix), Face‑centered cubic (fcc), Classified as: 1",0.0
143,categorical__Phase_Face–centered cubic (FCC) (classified as 1),0.0
144,categorical__Phase_Face‑centered cubic (code 1),0.0
145,categorical__Phase_Face‑centered cubic (FCC) [classified as “1” in the scheme],0.0
146,categorical__Phase_Face‐centered cubic (FCC) [Code = 1],0.0
147,categorical__Phase_Face‐centered cubic (FCC) → Code 1,0.0
148,categorical__Phase_Face‐centered cubic (classification = 1),0.0
149,categorical__Phase_Face‐centered cubic (fcc),0.0
150,categorical__Phase_Face‐centered cubic (FCC) → (classification = 1),0.0
151,categorical__Processing_Method_Yes (complete material state); Yes; Yes; 1,0.0
152,categorical__Processing_Method_Yes (1); Yes (1); 0; 1,0.0
153,categorical__Processing_Method_Yes (1); Yes (1) (hot forging); Yes (1); 1,0.0
154,categorical__Processing_Method_Yes (1); Cold Rolling: Yes (1); 0; 1,0.0
155,categorical__Processing_Method_Yes (1); 0; Yes (1); 1,0.0
156,categorical__Processing_Method_Yes (1); Cold Rolling: Yes (1); 0; 0,0.0
157,categorical__Processing_Method_Yes (1); 0; Yes (1); 0,0.0
158,categorical__Processing_Method_Tube-sealed homogenization; Cold rolling at room temperature (20 °C); Annealing (recrystallization) step; 1,0.0
159,categorical__Processing_Method_Solution treatment; Cold rolling; Annealing; 1,0.0
160,categorical__Processing_Method_Tube-sealed homogenization; Cold rolling at room temperature (20 °C); 0; 1,0.0
