Property,Feature,Material_Feature,Mean_SHAP,Mean_Absolute_SHAP,SHAP_Value_Min,SHAP_Value_Max,Feature_Value_Min,Feature_Value_Max,Feature_SHAP_Correlation
Hardness,elements__Al_at_pct,al_at_pct,-1.265972556077338,43.709764257372605,-56.45866586852321,227.04741012657593,1.7359973796265968,47.014574518100616,0.8380310927968916
Hardness,elements__Ni_at_pct,ni_at_pct,-3.9294341828436457,13.507405595852147,-88.28872192360534,58.74626102471234,4.983544898918665,49.049049049049046,-0.7362622328110479
Hardness,elements__Fe_at_pct,fe_at_pct,-0.1939301467469172,11.57560011810127,-48.88272726163266,48.613752803636444,4.989247311827957,48.30917874396136,-0.7597914003277809
Hardness,elements__Co_at_pct,co_at_pct,-0.5125401589124723,7.671144659515937,-27.219666022845434,47.26426689501046,10.0,33.333333333333336,0.4298957063487118
Hardness,numeric__Density_Calc_g_cm3,density_calc_g_cm3,1.2225519512212724,6.734081948066423,-7.986238943467438,36.3009313788067,5.1,13.7,-0.3935620765050493
Hardness,elements__Mo_at_pct,mo_at_pct,-1.127331552607968,6.638016809865215,-12.447240006040103,35.576744008212515,7.6923076923076925,25.0,0.7216669144473129
Hardness,elements__Ti_at_pct,ti_at_pct,-0.9978676796390115,6.22619163273241,-29.563727133673694,30.675287607668498,1.923076923076923,44.44444444444444,-0.48584782636496193
Hardness,numeric__Density_Exp_g_cm3,density_exp_g_cm3,-1.4522501437511546,4.894359710872808,-22.43331694644219,72.5748872869732,5.3,8.02,-0.5382126412249377
Hardness,elements__Cr_at_pct,cr_at_pct,-0.3050503831567499,4.523486392205821,-19.116958326450508,24.131132811343978,10.0,34.002040122407344,0.2069745920072518
Hardness,elements__Cu_at_pct,cu_at_pct,-0.44511604037930247,4.366994653913988,-33.34889704740918,16.490273370642896,4.983544898918665,32.754667540124466,-0.48826950373581635
Hardness,elements__Mn_at_pct,mn_at_pct,-0.04441381146692729,3.6882747520625694,-48.67503046518149,21.699333770884408,16.666666666666668,32.754667540124466,-0.6433229293888411
Hardness,elements__Hf_at_pct,hf_at_pct,-0.19912554421914885,3.2178981970030587,-50.55022190433446,4.972294220288713,11.11111111111111,33.333333333333336,-0.5676681841517388
Hardness,elements__Nb_at_pct,nb_at_pct,1.0166172554296935,3.018352688479882,-26.706758205243915,24.75646941954576,4.761904761904762,41.98152812762385,-0.6410570791267236
Hardness,elements__V_at_pct,v_at_pct,0.4227282661567199,2.357672698229747,-34.93368286371491,22.836952330130885,3.903903903903904,40.0,0.5834335529251422
Hardness,elements__Zr_at_pct,zr_at_pct,0.05191300439419114,1.9180299745974898,-10.238946271699175,74.85960998773716,9.990999099909992,37.49531308586426,-0.4015352805465339
Hardness,elements__Si_at_pct,si_at_pct,-1.5566940117100054,1.7870155369438112,-8.128146959311625,3.1512060008247778,2.439024390243903,12.6984126984127,0.3022290208223626
Hardness,numeric__Test_Temperature_C,test_temperature_c,0.6597796873333839,1.5464116250330902,-16.504801184588196,12.674139492573387,25.0,800.0,-0.6332134155724954
Hardness,elements__Ta_at_pct,ta_at_pct,0.13425309404937105,1.5343228134904126,-12.01067598747598,36.17577618982124,1.0075566750629723,33.333333333333336,-0.17051565045129777
Hardness,numeric__Grain_Size_um,grain_size_um,1.4212015639123967,1.5316436742971935,-2.82561784359765,18.479827121073633,0.03,2000.0,-0.1382777448800354
Hardness,numeric__Matrix_Volume_pct,matrix_volume_pct,-0.5322201910173034,1.0619381782663517,-30.14053959985089,0.8514490402997522,40.5,92.0,-0.9763785128707385
Hardness,elements__W_at_pct,w_at_pct,-0.1403286349856315,0.5660129595836442,-2.8658834995847746,5.287360303051175,9.090909090909092,25.0,-0.1411043757057954
Hardness,elements__B_at_pct,b_at_pct,-0.45052882063837446,0.45052882063837446,-4.2229292639623175,-0.11025283986788084,1.6908212560386475,6.672418751797527,-0.06205178919154396
Hardness,elements__C_at_pct,c_at_pct,-0.11222024970913681,0.17764371761635334,-2.7566669271614495,2.857048766172488,1.923076923076923,11.11111111111111,0.9731795933808416
Hardness,elements__Zn_at_pct,zn_at_pct,-0.013188094405279604,0.0443169728834913,-3.0541714574419943,0.18613960637757176,7.6923076923076925,14.995499549954996,0.9842975850527728
Hardness,elements__Sn_at_pct,sn_at_pct,-0.004206281650864375,0.040010920799451385,-1.7088724639325648,0.826968222604828,1.7359973796265968,1.7677937316658947,0.8515048179861748
Hardness,elements__Re_at_pct,re_at_pct,-0.0013687740848096833,0.02133358415885819,-0.2448862470746178,1.1261560908813273,11.11111111111111,12.224209898628503,-0.9153188923849944
Hardness,elements__O_at_pct,o_at_pct,0.0,0.0,0.0,0.0,13.88888888888889,13.88888888888889,
Hardness,elements__Mg_at_pct,mg_at_pct,0.0,0.0,0.0,0.0,9.988002399520097,9.988002399520097,
Hardness,elements__Nd_at_pct,nd_at_pct,0.0,0.0,0.0,0.0,16.666666666666668,16.666666666666668,
