YS_Band,N,MAE,Mean_Interval_Width,Coverage_95pct
<=600,823,133.4578859098334,1127.41997009201,98.66342648845686
600-1200,627,156.41125019047223,1127.41997009201,98.24561403508771
1200-1800,380,207.62774521995422,1127.41997009201,90.0
1800-2200,68,415.6053583668267,1127.4199700920099,69.11764705882352
>2200,43,520.4408520475655,1127.4199700920099,67.44186046511628
