candidate_id,composition,n_elements,Al,Co,Cr,Cu,Fe,Mn,Mo,Nb,Ni,Ti,V,W,composition_sum,valid_composition,Predicted_YS_MPa,Predicted_UTS_MPa,Predicted_Elongation_pct,Predicted_Hardness_HV,UTS_to_YS_Ratio,UTS_YS_Consistency,YS_Score,UTS_Score,Elongation_Score,Hardness_Score,Balanced_Score,Pareto_Optimal,Overall_Rank,YS_Ensemble_Mean_MPa,YS_Uncertainty_STD_MPa,YS_Relative_Uncertainty,Uncertainty_Risk,Predicted_YS_MPa_Normalized,Predicted_UTS_MPa_Normalized,Predicted_Elongation_pct_Normalized,Predicted_Hardness_HV_Normalized,Performance_Score,Uncertainty_Penalty,Uncertainty_Aware_Score,Final_Rank,Nearest_Experimental_Distance,Nearest_Experimental_Record_ID,Nearest_Experimental_Alloy,Nearest_Experimental_Composition,Novelty_Percentile,Novelty_Score,Discovery_Score,Discovery_Rank,Novelty_Category
CAND_03023,Co19.66Cu10.69Mn23.74Ti34.07V11.84,5,0.0,19.66,0.0,10.69,0.0,23.74,0.0,0.0,0.0,34.07,11.84,0.0,100.0,True,584.1533,847.6087,55.459778,292.3296,1.451003821302533,True,0.18916506,0.21760619805732,0.648272663744521,0.1907441839534328,0.3127111719070555,True,4925,1148.4744262695312,239.09319637454428,0.2081833003031382,High,0.1891650265576115,0.21760619805732,0.648272663744521,0.1907441839534329,0.3114470180782214,0.2081833003031382,0.257781263819884,4812,3.6814695911720676,R00628,Co1 Cr1 Cu1 Fe1 Mn1 Ni1 Ti1 V1,Co:12.5000;Cr:12.5000;Cu:12.5000;Fe:12.5000;Mn:12.5000;Ni:12.5000;Ti:12.5000;V:12.5000,37.14,0.21497106190510598,0.25248037628414755,4759,Moderate
CAND_03202,Al8.43Co16.56Cu44.06Mo20.16V10.79,5,8.43,16.56,0.0,44.06,0.0,0.0,20.16,0.0,0.0,0.0,10.79,0.0,100.0,True,935.93054,747.0345,35.11464,324.664,0.7981730122941492,False,0.4825372,0.1386229757193001,0.2843866261761761,0.2600340151846869,0.2964498264547582,True,4969,1106.8667724609377,244.9167575531525,0.2212703133265262,High,0.4825371929364121,0.1386229757193001,0.2843866261761761,0.2600340151846869,0.2913952025041438,0.2212703133265262,0.2386000865856097,4942,5.431652542465085,R02374,FCC Co9Cr7Cu36Mn25Ni23 HEA,Co:9.0000;Cr:7.0000;Cu:36.0000;Mn:25.0000;Ni:23.0000,73.58,0.3332052149638505,0.2522084829255733,4760,High
CAND_01713,Cu25.80Fe23.49Mn24.28Ni9.38W17.05,5,0.0,0.0,0.0,25.8,23.49,24.28,0.0,0.0,9.38,0.0,0.0,17.05,100.0,True,472.50565,1324.4458,39.05655,230.56566666666671,2.8030264017105138,True,0.09605408,0.5920772919195292,0.3548902526618275,0.0583894002912933,0.303920385792186,True,4952,836.4638712565104,183.5944913251419,0.2194888477960822,Low,0.0960540767087751,0.5920772919195292,0.3548902526618275,0.0583894002912933,0.2753527553953563,0.2194888477960822,0.2257935821987932,4981,6.135603003369703,R01647,Al1 Cr1 Cu1 Fe1 Mn1 W0.5,Al:18.1818;Cr:18.1818;Cu:18.1818;Fe:18.1818;Mn:18.1818;W:9.0909,83.24000000000001,0.38076080706859605,0.25215747717258086,4761,Very High
CAND_00513,Cr19.84Cu27.72Mo17.68Nb7.03Ti18.14V9.59,6,0.0,0.0,19.84,27.72,0.0,0.0,17.68,7.03,0.0,18.14,9.59,0.0,100.0,True,1157.3915,961.6131,19.214373,308.61,0.8308451522573101,False,0.6672293,0.3071364639974175,0.0,0.2256316774086171,0.326154494144754,True,4858,1076.1091756184896,220.0159532610477,0.2044550480991804,Medium,0.6672293054890288,0.3071364639974175,0.0,0.2256316774086171,0.2999993617237658,0.2044550480991804,0.2490747680432009,4883,3.9734802256779287,R00301,Cr1 Cu1 Fe1 Mo1 Ni1,Cr:20.0000;Cu:20.0000;Fe:20.0000;Mo:20.0000;Ni:20.0000,45.0,0.23469793104723763,0.25128363829627254,4762,Moderate
CAND_04985,Cu22.82Mn17.21Ti34.78V25.19,4,0.0,0.0,0.0,22.82,0.0,17.21,0.0,0.0,0.0,34.78,25.19,0.0,100.0,True,902.89886,801.47473,35.720734,313.121,0.8876683328485351,False,0.45498976,0.1813761349810486,0.2952270119260269,0.2352983614566954,0.300011279008794,True,4962,1169.9347127278645,240.0398437164112,0.2051737085026951,High,0.4549897156728708,0.1813761349810486,0.2952270119260269,0.2352983614566954,0.2917228060091604,0.2051737085026951,0.2420587206234329,4924,4.423520483622726,R00628,Co1 Cr1 Cu1 Fe1 Mn1 Ni1 Ti1 V1,Co:12.5000;Cr:12.5000;Cu:12.5000;Fe:12.5000;Mn:12.5000;Ni:12.5000;Ti:12.5000;V:12.5000,55.94,0.2651005405007984,0.2511301075714845,4763,High
CAND_02176,Cu31.44Fe9.57Mo20.25Nb7.85Ni16.34Ti14.55,6,0.0,0.0,0.0,31.44,9.57,0.0,20.25,7.85,16.34,14.55,0.0,0.0,100.0,True,1039.0685,1169.447,23.094328,284.103,1.1254763481742174,True,0.5685513,0.4703531849166767,0.0693955209786971,0.1731152894755074,0.3549875256883209,False,4593,1131.0714721679688,247.23143462293515,0.2185816199121856,High,0.5685513044835097,0.4703531849166767,0.0693955209786971,0.1731152894755074,0.3203538249635977,0.2185816199121856,0.2628907409474003,4749,3.744072373815943,R00301,Cr1 Cu1 Fe1 Mo1 Ni1,Cr:20.0000;Cu:20.0000;Fe:20.0000;Mo:20.0000;Ni:20.0000,38.86,0.2192002123373799,0.25100769822643365,4764,Moderate
CAND_01593,Co15.61Fe21.12Mn20.09Ni18.97V24.21,5,0.0,15.61,0.0,0.0,21.12,20.09,0.0,0.0,18.97,0.0,24.21,0.0,100.0,True,793.55914,931.704,48.651245,222.0180000000001,1.1740826227517027,True,0.36380354,0.2836481628701893,0.5264976187670273,0.0400724876300302,0.3318707933677359,False,4820,1242.1430826822916,217.66144125114604,0.1752305706852439,Medium,0.3638035134965973,0.2836481628701893,0.5264976187670273,0.0400724876300302,0.303505445690961,0.1752305706852439,0.2582518301187447,4810,2.0764090642052664,R02886,BAA11,Co:16.0000;Cu:4.0000;Fe:20.0000;Mn:20.0000;Ni:28.0000;V:12.0000,5.12,0.10654069931144707,0.2506801139806455,4765,Low
CAND_01513,Al10.43Cr16.23Mo21.24Ni33.20Ti18.90,5,10.43,0.0,16.23,0.0,0.0,0.0,21.24,0.0,33.2,18.9,0.0,0.0,100.0,True,1270.21,1176.8444,41.76716,306.0826,0.926495962235574,False,0.7613167,0.4761625325319029,0.4033712770860969,0.2202156771286096,0.5051189605028448,False,1456,899.0271077473958,302.49104165110464,0.3364648730214896,High,0.7613167107816701,0.4761625325319029,0.4033712770860969,0.2202156771286097,0.4652665493820698,0.3364648730214896,0.3481322695224991,2778,3.203337159594578,R01757,Al1 Cr1 Fe1 Mo0.5 Ni1 Ti0.75,Al:19.0476;Cr:19.0476;Fe:19.0476;Mo:9.5238;Ni:19.0476;Ti:14.2857,24.54,0.18267067693351335,0.2506451816065486,4766,Low
CAND_01110,Cu18.91Fe27.62Mn7.85Mo22.66Nb22.96,5,0.0,0.0,0.0,18.91,27.62,7.85,22.66,22.96,0.0,0.0,0.0,0.0,100.0,True,906.7394,1304.4778,38.754166,270.2866666666667,1.4386469022318091,True,0.4581926,0.5763959642664572,0.3494819179735071,0.1435080784277869,0.4192732685280521,False,3376,804.4489705403646,230.67145002762103,0.2867446643292667,High,0.4581926162922073,0.5763959642664572,0.3494819179735071,0.1435080784277869,0.3818946442399896,0.2867446643292667,0.2967913175214582,4200,4.543561319416473,R01368,Cr1 Fe1 Mo1 Nb1 Ti1,Cr:20.0000;Fe:20.0000;Mo:20.0000;Nb:20.0000;Ti:20.0000,58.599999999999994,0.2732099364596906,0.2506148555538036,4767,High
CAND_00700,Al9.60Cu27.42Fe37.56Ni6.19V19.23,5,9.6,0.0,0.0,27.42,37.56,0.0,0.0,0.0,6.19,0.0,19.23,0.0,100.0,True,1000.80133,951.69574,32.38571,268.2793333333334,0.9509337277373374,False,0.5366376,0.2993481340888904,0.2355779366258087,0.1392065361727417,0.3305711860800113,False,4826,910.6814860026042,185.0333449848568,0.203181186648531,Low,0.5366375781603232,0.2993481340888904,0.2355779366258087,0.1392065361727417,0.302692546261941,0.203181186648531,0.2515768610919632,4864,3.718733922272682,R00428,Al0.417 Co0.833 Cr0.833 Cu0.833 Fe0.833 Ni0.833 V1,Al:7.4704;Co:14.9230;Cr:14.9230;Cu:14.9230;Fe:14.9230;Ni:14.9230;V:17.9147,38.279999999999994,0.2174884653706847,0.2505168302664914,4768,Moderate
