Metric,Value
Mean R2 improvement,0.0
Mean MAE improvement_MPa,0.0
Random Mean R2,0.6907325798758837
Uncertainty Mean R2,0.6907325798758837
Random Mean MAE_MPa,223.57223894279787
Uncertainty Mean MAE_MPa,223.57223894279787
