Round,Strategy,Mean_MAE_MPa,Std_MAE_MPa,Mean_RMSE_MPa,Std_RMSE_MPa,Mean_R2,Std_R2,Mean_Training_Records,Mean_Training_Compositions
0,Random,235.3806427029922,13.522327578370371,317.74618836477964,12.871260612722336,0.6537019127015419,0.04095369977959578,1060.0,400.0
0,Uncertainty,235.3806427029922,13.522327578370371,317.74618836477964,12.871260612722336,0.6537019127015419,0.04095369977959578,1060.0,400.0
1,Random,226.49937458802947,8.881047902942129,302.4761052801669,12.413152024022079,0.6868957486828131,0.0294399352758192,1325.2,500.0
1,Uncertainty,223.99812570492833,13.012214057745506,302.3106468434002,17.03485475073421,0.6880163446751426,0.023026544434575278,1342.0,500.0
2,Random,224.13116263353749,11.953598218394795,300.12776999916537,17.502062087613705,0.6922375157706799,0.02735394749388705,1540.6,584.0
2,Uncertainty,224.13116263353749,11.953598218394795,300.12776999916537,17.502062087613705,0.6922375157706799,0.02735394749388705,1540.6,584.0
3,Random,225.829380522469,11.69151015195069,302.7583604435471,16.860369203459676,0.6870908376768725,0.022818102358419867,1540.6,584.0
3,Uncertainty,225.829380522469,11.69151015195069,302.7583604435471,16.860369203459676,0.6870908376768725,0.022818102358419867,1540.6,584.0
4,Random,223.57223894279787,12.368417120795996,301.23379849541317,20.847039828178676,0.6907325798758837,0.020833358393634746,1540.6,584.0
4,Uncertainty,223.57223894279787,12.368417120795996,301.23379849541317,20.847039828178676,0.6907325798758837,0.020833358393634746,1540.6,584.0
