Round,Strategy,Mean_MAE_MPa,Std_MAE_MPa,Mean_RMSE_MPa,Std_RMSE_MPa,Mean_R2,Std_R2,Mean_Training_Records,Mean_Training_Compositions
0,Random,267.86207692453576,20.799657343761286,358.26095559418206,17.458458106482784,0.5567868271169931,0.07828363225531305,540.0,200.0
0,Uncertainty,267.86207692453576,20.799657343761286,358.26095559418206,17.458458106482784,0.5567868271169931,0.07828363225531305,540.0,200.0
1,Random,258.0207976661776,15.13990443933116,345.24048818048834,14.549323220908704,0.5910277806013771,0.05025964039518142,674.6,250.0
1,Uncertainty,259.46704906576235,12.757840873181435,350.8536128598794,12.75788311370976,0.5766139634644556,0.06067105429358342,650.8,250.0
2,Random,246.95525545636474,12.02821250070536,332.1555524829539,8.66965309378414,0.6210466741302705,0.0473147434329047,820.2,300.0
2,Uncertainty,249.0016527361087,13.692877070142949,336.8219381851655,15.03417716107129,0.610930623933222,0.047220896553453656,760.6,300.0
3,Random,246.58322941434827,16.885375701400825,330.3017608560968,14.18343319861668,0.6254234215416286,0.04852909997204918,928.0,350.0
3,Uncertainty,235.66374578567957,9.067090603144747,316.2335000258489,12.916517200983536,0.6578345229513886,0.03116114750161826,885.8,350.0
4,Random,230.8279748908085,11.868588304110153,313.58681253094994,19.28609165783266,0.6646895816359043,0.02001847562143585,1075.4,400.0
4,Uncertainty,229.25573605767426,7.165568778762542,306.7603772081562,11.25693802448929,0.6780077323356767,0.0282631978151502,1043.2,400.0
5,Random,231.38911112897728,13.010293193083807,313.10244436686526,19.682049802661496,0.6652599205139419,0.028829279442889936,1181.8,450.0
5,Uncertainty,229.11997467647288,7.407723021250708,302.90288148556823,12.028670806214627,0.6861448764656354,0.02709401079961908,1213.0,450.0
6,Random,223.74999483173366,14.112091265827088,302.9058308014072,18.159584545507194,0.6872281013656556,0.01542772458973139,1307.0,500.0
6,Uncertainty,222.53475766996,10.2643463129204,298.82744944570834,14.913930046920951,0.6953101594451511,0.015015476944709743,1377.8,500.0
